id,nearc2,nearc4,educ,age,fatheduc,motheduc,weight,momdad14,sinmom14,step14,reg661,reg662,reg663,reg664,reg665,reg666,reg667,reg668,reg669,south66,black,smsa,south,smsa66,wage,enroll,KWW,IQ,married,libcrd14,exper,lwage,expersq
170,1,1,14,26,12,12,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,375,1,28,113,1,1,6,5.9269261,36
173,1,1,16,29,14,11,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,817,0,43,102,6,1,7,6.7056389,49
175,1,1,14,30,15,12,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,865,0,32,91,1,1,10,6.7627301,100
176,1,1,15,28,12,12,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,350,0,30,104,1,1,7,5.857933,49
177,1,1,13,24,12,12,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,202,0,22,,1,1,5,5.3082681,25
178,1,1,13,32,16,16,367470,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,505,0,43,97,1,1,13,6.2245579,169
179,1,1,17,30,12,13,480445,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,816,0,41,125,1,1,7,6.7044139,49
181,1,1,18,26,14,12,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,625,0,41,123,6,1,2,6.4377518,4
182,1,1,18,32,16,16,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,769,0,35,128,6,1,8,6.6450911,64
183,1,1,17,27,16,17,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,500,1,38,133,6,1,4,6.2146082,16
188,1,1,17,27,12,8,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,619,1,32,114,1,1,4,6.4281049,16
192,1,1,12,30,,8,480445,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,650,0,40,103,1,1,12,6.4769731,144
194,0,1,18,28,10,12,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,769,0,36,130,1,1,4,6.6450911,16
195,0,1,12,26,10,12,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,512,0,33,97,1,1,8,6.2383251,64
196,0,1,18,31,12,13,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,625,0,46,132,1,1,7,6.4377518,49
197,0,1,14,31,12,12,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1111,0,41,98,1,1,11,7.0130162,121
198,0,1,13,28,12,12,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,721,0,41,108,1,1,9,6.5806389,81
199,0,1,14,32,13,12,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1154,0,44,107,1,1,12,7.0509901,144
201,0,1,18,34,18,18,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,827,0,40,129,6,1,10,6.7178049,100
204,0,1,16,34,14,12,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,923,0,56,,1,1,12,6.8276291,144
205,0,1,17,28,14,17,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1076,0,42,132,1,1,5,6.9810061,25
209,0,1,12,33,,8,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,625,0,37,101,1,1,15,6.4377518,225
210,0,1,13,27,,8,380166,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,460,0,24,92,1,1,8,6.131227,64
213,0,1,14,24,8,12,102031,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,900,0,39,108,6,1,4,6.8023949,16
214,0,1,18,29,8,9,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,682,0,,132,1,1,5,6.5250301,25
217,0,1,12,24,10,12,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,411,0,20,,1,1,6,6.0185928,36
218,0,1,13,27,12,15,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,625,0,35,106,1,0,8,6.4377518,64
222,0,1,18,32,12,12,355491,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1005,0,46,123,1,1,8,6.9127431,64
225,0,1,11,24,9,11,357519,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,725,0,24,109,1,1,7,6.5861721,49
226,0,1,15,27,8,11,367772,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,750,0,35,103,1,1,6,6.6200728,36
228,0,1,14,29,,8,533828,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,529,0,33,108,1,0,9,6.270988,81
229,0,1,17,29,8,12,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,972,0,47,122,1,1,6,6.8793559,36
232,0,1,12,26,12,12,380166,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,472,0,36,109,1,1,8,6.1569791,64
233,0,1,12,24,12,12,369567,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,325,0,35,102,6,1,6,5.7838249,36
234,0,1,12,34,,12,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,875,0,44,109,1,1,16,6.7742238,256
237,0,1,13,34,9,10,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,625,0,40,100,1,1,15,6.4377518,225
239,0,1,12,26,8,10,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,337,0,29,93,1,1,8,5.8200831,64
240,0,1,16,27,5,5,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,481,0,37,115,1,1,5,6.1758671,25
241,0,1,9,29,5,,551817,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,650,0,,,6,0,14,6.4769731,196
242,0,1,16,25,5,4,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,383,0,39,,6,0,3,5.9480348,9
244,0,1,18,30,15,14,533828,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,962,0,50,125,1,1,6,6.8690138,36
245,0,1,16,29,13,12,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,615,0,31,106,6,1,7,6.4216218,49
247,0,1,14,28,12,12,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,702,0,43,113,1,1,8,6.5539341,64
249,0,1,14,31,,12,551817,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,635,0,41,122,6,1,11,6.4536252,121
250,0,1,12,28,10,11,422407,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,200,0,35,,4,0,10,5.298317,100
252,0,1,12,27,10,10,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,817,0,43,116,1,1,9,6.7056389,81
253,0,1,14,26,,12,380166,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,577,0,39,116,1,1,6,6.357842,36
254,0,1,17,26,12,12,760332,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,466,0,34,105,1,1,3,6.144186,9
255,0,1,16,29,,12,993271,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,924,0,39,,1,1,7,6.828712,49
256,0,1,16,31,12,12,993271,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,793,1,38,112,1,0,9,6.6758232,81
257,0,1,14,28,12,12,760332,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,635,0,32,113,1,1,8,6.4536252,64
259,0,1,12,25,,,369567,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,570,0,22,,6,1,7,6.3456359,49
260,0,1,16,29,12,12,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,705,0,37,94,1,1,7,6.558198,49
261,0,1,14,28,12,9,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,635,0,40,103,1,1,8,6.4536252,64
263,0,1,12,30,,12,496635,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,694,0,36,102,1,0,12,6.5424719,144
264,0,1,13,34,10,12,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,615,0,47,109,1,1,15,6.4216218,225
265,0,1,16,26,15,10,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,462,0,34,130,6,1,4,6.1355648,16
266,0,1,12,34,12,12,408301,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,865,0,45,105,1,1,16,6.7627301,256
267,0,1,18,33,12,12,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,737,0,46,134,1,1,9,6.6025882,81
268,0,1,12,25,8,14,357519,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1400,0,39,,1,1,7,7.2442269,49
270,0,1,12,31,,7,496635,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,808,0,43,105,1,0,13,6.694562,169
272,0,1,16,26,11,12,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,654,0,36,104,1,0,4,6.483108,16
273,0,1,12,25,,12,369567,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,300,0,35,112,1,1,7,5.703783,49
275,0,1,16,30,8,10,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,577,0,37,115,4,1,8,6.357842,64
279,0,1,16,24,10,12,410630,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,265,0,44,,6,1,2,5.57973,4
280,0,1,18,31,8,8,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,594,0,33,117,1,1,7,6.386879,49
282,0,1,17,26,12,8,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,325,0,29,114,1,1,3,5.7838249,9
283,0,1,16,24,12,8,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,385,1,37,118,6,1,2,5.9532428,4
284,0,1,18,25,12,12,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1000,0,32,107,1,1,1,6.9077549,1
285,0,1,18,28,8,11,367772,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,465,0,49,120,6,1,4,6.1420369,16
286,0,1,16,28,16,18,367772,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,440,0,43,131,6,1,6,6.0867748,36
287,0,1,16,27,16,17,367772,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,625,0,40,124,6,1,5,6.4377518,25
288,0,1,17,27,11,12,92929,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,285,0,36,121,1,1,4,5.6524892,16
290,0,1,14,27,10,12,92929,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,650,0,35,110,1,1,7,6.4769731,49
291,0,1,13,25,10,12,90339,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,808,0,34,103,1,1,6,6.694562,36
292,0,1,12,24,10,12,90339,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,500,0,26,,1,1,6,6.2146082,36
293,0,1,16,26,14,12,367772,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,831,0,45,115,1,1,4,6.72263,16
295,0,1,12,31,8,6,480445,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,500,0,33,96,1,1,13,6.2146082,169
297,0,1,17,32,12,12,355491,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,693,0,48,123,1,0,9,6.5410299,81
298,0,1,12,27,12,10,367772,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1100,0,37,101,1,1,9,7.0030661,81
300,0,1,12,25,8,12,357519,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,763,0,34,98,1,1,7,6.6372581,49
302,1,1,12,27,8,9,422407,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,795,0,28,,1,1,9,6.6783419,81
304,1,1,16,25,7,8,369567,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,333,0,31,108,6,1,3,5.8081431,9
306,1,1,18,30,16,12,551817,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,409,0,39,138,1,1,6,6.0137148,36
307,1,1,16,27,,12,380166,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,865,0,37,121,1,1,5,6.7627301,25
308,1,1,12,31,8,12,496635,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,888,0,34,96,1,1,13,6.7889719,169
309,1,1,12,34,,12,367470,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,673,0,47,89,1,1,16,6.511745,256
312,1,1,12,33,7,,367470,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,700,0,43,109,6,1,15,6.5510802,225
313,1,1,18,33,16,16,367470,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,250,0,44,133,6,1,9,5.521461,81
314,1,1,11,27,11,9,380166,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,625,0,32,84,6,1,10,6.4377518,100
315,1,1,13,31,8,12,496635,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,417,0,37,,4,1,12,6.0330858,144
316,1,1,13,28,8,12,380166,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,576,0,51,98,1,1,9,6.3561082,81
317,1,1,12,26,12,9,104596,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,613,0,27,85,6,1,8,6.418365,64
318,1,1,12,31,11,9,496635,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,700,0,,105,1,1,13,6.5510802,169
320,1,1,12,24,11,9,369567,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,450,0,20,93,6,1,6,6.1092482,36
322,1,1,16,28,,12,380166,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,500,0,38,115,1,1,6,6.2146082,36
323,1,1,12,25,12,,369567,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,514,0,36,,1,1,7,6.2422228,49
324,1,1,16,25,12,12,369567,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,250,0,45,146,6,1,3,5.521461,9
325,1,1,12,24,12,12,369567,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,315,0,32,,6,1,6,5.752573,36
326,1,1,12,29,9,12,496635,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,375,0,32,82,1,1,11,5.9269261,121
330,1,1,15,34,,12,408301,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,457,0,45,120,1,1,13,6.1246829,169
